"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","url","categoryName"
"ביספיי - ציוד ריגול ואבטחה","4.7","122","עמל 46","פתח תקווה",,"IL","http://bespy.co.il/","+972 73-374-4790","חנות למוצרי אבטחה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%91%D7%99%D7%A1%D7%A4%D7%99%D7%99%20-%20%D7%A6%D7%99%D7%95%D7%93%20%D7%A8%D7%99%D7%92%D7%95%D7%9C%20%D7%95%D7%90%D7%91%D7%98%D7%97%D7%94&query_place_id=ChIJC3lz1CY3HRURiAnGYTSKR_k","חנות למוצרי אבטחה"
"החנות החכמה - THE SMART SHOP","5","421","סוקולוב 61","הרצליה",,"IL","http://www.thesmartshop.co.il/","+972 9-958-3680","חנות לטלפונים ניידים","שירות תיקונים למחשב","חנות מחשבים","חנות לתיקון טלפונים ניידים",,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%97%D7%A0%D7%95%D7%AA%20%D7%94%D7%97%D7%9B%D7%9E%D7%94%20-%20THE%20SMART%20SHOP&query_place_id=ChIJY1Ay2QtIHRURooI3v7BCpQ0","חנות לטלפונים ניידים"
"SpearUAV","4.7","3","אהרון מסקין 10","תל אביב-יפו",,"IL","http://www.spearuav.com/","","משרדי החברה",,,,,,,"https://www.google.com/maps/search/?api=1&query=SpearUAV&query_place_id=ChIJ0XHkEdVJHRURugKmP3RDbYM","משרדי החברה"
"יציל פיננסים בע""מ","4.9","140","מצדה 3","בני ברק",,"IL","https://www.yatzil.co.il/","+972 3-572-6655","מוסד פיננסי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%99%D7%A6%D7%99%D7%9C%20%D7%A4%D7%99%D7%A0%D7%A0%D7%A1%D7%99%D7%9D%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJeS_skwBLHRURV50HIR2ZnDk","מוסד פיננסי"
"מכללת אין ליין -קורסים מקצועיים קצרים שיזניקו את הקריירה שלך לשלב הבא","4.4","106","רחוב זאב ז'בוטינסקי 100","פתח תקווה",,"IL","http://www.inline.co.il/","+972 3-921-1112","השכלה למבוגרים","מרכז ללימודים מרחוק","מוסד לימודים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%9B%D7%9C%D7%9C%D7%AA%20%D7%90%D7%99%D7%9F%20%D7%9C%D7%99%D7%99%D7%9F%20-%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D%20%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%99%D7%99%D7%9D%20%D7%A7%D7%A6%D7%A8%D7%99%D7%9D%20%D7%A9%D7%99%D7%96%D7%A0%D7%99%D7%A7%D7%95%20%D7%90%D7%AA%20%D7%94%D7%A7%D7%A8%D7%99%D7%99%D7%A8%D7%94%20%D7%A9%D7%9C%D7%9A%20%D7%9C%D7%A9%D7%9C%D7%91%20%D7%94%D7%91%D7%90&query_place_id=ChIJy5dR_vtJHRURZtMncbv7Pzw","השכלה למבוגרים"
"ד""ר דניאל בריסקו","3.8","14","הברזל 20","תל אביב-יפו",,"IL","http://www.dr-briscoe.co.il/","+972 72-257-5185","רופא עיניים",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%22%D7%A8%20%D7%93%D7%A0%D7%99%D7%90%D7%9C%20%D7%91%D7%A8%D7%99%D7%A1%D7%A7%D7%95&query_place_id=ChIJpbpTv7w1HRURBFGv9IVnqbc","רופא עיניים"
"ד""ר רובינפור מנו","4.7","24","הברזל 26","תל אביב-יפו",,"IL","https://www.dr-robinpour-mano.co.il/","+972 3-767-8008","מנתח פלסטי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%22%D7%A8%20%D7%A8%D7%95%D7%91%D7%99%D7%A0%D7%A4%D7%95%D7%A8%20%D7%9E%D7%A0%D7%95&query_place_id=ChIJa6Xky5RJHRURsGB6nw7KZzM","מנתח פלסטי"
"ד""ר אורית גולן - מנהלת מכון לדימות השד, מרכז רפואי תל אביב (איכילוב)","4.3","6","בית חולים רפאל, פארק עתידים, בנין, 3","תל אביב-יפו",,"IL","https://www.oritgolan.co.il/","+972 3-775-2000","רופא",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%22%D7%A8%20%D7%90%D7%95%D7%A8%D7%99%D7%AA%20%D7%92%D7%95%D7%9C%D7%9F%20-%20%D7%9E%D7%A0%D7%94%D7%9C%D7%AA%20%D7%9E%D7%9B%D7%95%D7%9F%20%D7%9C%D7%93%D7%99%D7%9E%D7%95%D7%AA%20%D7%94%D7%A9%D7%93%2C%20%D7%9E%D7%A8%D7%9B%D7%96%20%D7%A8%D7%A4%D7%95%D7%90%D7%99%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%20(%D7%90%D7%99%D7%9B%D7%99%D7%9C%D7%95%D7%91)&query_place_id=ChIJjY_ibVNJHRURt2l6wEOn-2U","רופא"
"המרכז לכירורגיה פלסטית","4.2","5","הברזל 19","תל אביב-יפו",,"IL","http://bplastic.co.il/","+972 1-800-800-806","מנתח פלסטי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%9E%D7%A8%D7%9B%D7%96%20%D7%9C%D7%9B%D7%99%D7%A8%D7%95%D7%A8%D7%92%D7%99%D7%94%20%D7%A4%D7%9C%D7%A1%D7%98%D7%99%D7%AA&query_place_id=ChIJx0s8nJRJHRURrxanzmY7k5g","מנתח פלסטי"
"Infomed -אינפומד - פורטל הרפואה של ישראל","3.5","17","הנחושת 4","תל אביב-יפו",,"IL","https://www.infomed.co.il/","+972 3-693-9361","תכנית בריאות","בריאות",,,,,,"https://www.google.com/maps/search/?api=1&query=Infomed%20-%D7%90%D7%99%D7%A0%D7%A4%D7%95%D7%9E%D7%93%20-%20%D7%A4%D7%95%D7%A8%D7%98%D7%9C%20%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%94%20%D7%A9%D7%9C%20%D7%99%D7%A9%D7%A8%D7%90%D7%9C&query_place_id=ChIJIc5qv5RJHRURg_uGXvTBdfA","תכנית בריאות"
"אסיא מדיקל","4","55","הברזל 20","תל אביב-יפו",,"IL","https://www.assia.co.il/","+972 74-705-0130","מרכז רפואי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%A1%D7%99%D7%90%20%D7%9E%D7%93%D7%99%D7%A7%D7%9C&query_place_id=ChIJjzM7nJRJHRUREli4pd2ALIs","מרכז רפואי"
"ד""ר ארנון עופר","4.9","32",,,,,"http://drarnonofer.co.il/","+972 52-533-3190","מנתח פלסטי","Service establishment",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%22%D7%A8%20%D7%90%D7%A8%D7%A0%D7%95%D7%9F%20%D7%A2%D7%95%D7%A4%D7%A8&query_place_id=ChIJawWlG5pLHRUR1-GrRqwgkmQ","מנתח פלסטי"
"ד""ר פאני בר לוי","1.2","5","ברודצקי 43, קומה 5","תל אביב-יפו",,"IL","https://www.drbarlevy.co.il/","+972 77-805-1320","גינקולוגיה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%22%D7%A8%20%D7%A4%D7%90%D7%A0%D7%99%20%D7%91%D7%A8%20%D7%9C%D7%95%D7%99&query_place_id=ChIJT1qkw0xLHRURyObmAwIA5-4","גינקולוגיה"
"המכון להדברה ביולוגית",,,"2R38+F7","ראשון לציון",,"IL","http://www.plants.org.il/index.aspx?id=4893","+972 3-960-4405","ארגון ללא מטרות רווח",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%9E%D7%9B%D7%95%D7%9F%20%D7%9C%D7%94%D7%93%D7%91%D7%A8%D7%94%20%D7%91%D7%99%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%AA&query_place_id=ChIJR8U2dme1AhUR0PFZ1UhNfAQ","ארגון ללא מטרות רווח"
"Friendly Robotics","4.2","13","מתחם יבולים, 42815","פרדסיה",,"IL","http://www.robomow.com/","+972 9-890-1901","משרדי החברה",,,,,,,"https://www.google.com/maps/search/?api=1&query=Friendly%20Robotics&query_place_id=ChIJGXh6rH8VHRURRPtmTYkFyCk","משרדי החברה"
"רחף - פתרונות תעופה מתקדמים","5","7",,,,,"https://rahaf.org.il/","+972 74-702-2770","שירותי רחפנים","Service establishment",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%97%D7%A3%20-%20%D7%A4%D7%AA%D7%A8%D7%95%D7%A0%D7%95%D7%AA%20%D7%AA%D7%A2%D7%95%D7%A4%D7%94%20%D7%9E%D7%AA%D7%A7%D7%93%D7%9E%D7%99%D7%9D&query_place_id=ChIJlfDeDrDeE28RXzGHNg4mFWo","שירותי רחפנים"
